"fl_date","number_of_fl"
"2019-06-04",22879
"2019-06-05",23203
"2019-06-06",23891
"2019-06-07",24011
"2019-06-08",20166
"2019-06-09",23384
"2019-06-10",24156
"2019-06-11",23565
"2019-06-12",23837
"2019-06-13",24113
"2019-06-14",24158
"2019-06-15",20604
"2019-06-16",23360
"2019-06-17",24154
"2019-06-18",23636
"2019-06-19",23879
"2019-06-20",24169
"2019-06-21",24205
"2019-06-22",20671
"2019-06-23",23435
"2019-06-24",24210
"2019-06-25",23720
"2019-06-26",23946
"2019-06-27",24214
"2019-06-28",24267
"2019-06-29",20829
"2019-06-30",22506
"2019-07-01",22446
"2019-07-02",21882
"2019-07-03",21608
"2019-07-04",18257
"2019-07-05",19760
"2019-07-06",20721
"2019-07-07",23611
"2019-07-08",24309
"2019-07-09",23942
"2019-07-10",24111
"2019-07-11",24303
"2019-07-12",24331
"2019-07-13",20930
"2019-07-14",23603
"2019-07-15",24341
"2019-07-16",23972
"2019-07-17",24132
"2019-07-18",24328
"2019-07-19",24363
"2019-07-20",20944
"2019-07-21",23620
"2019-07-22",24348
"2019-07-23",23976
"2019-07-24",24128
"2019-07-25",24339
"2019-07-26",24368
"2019-07-27",20946
"2019-07-28",23624
"2019-07-29",24348
"2019-07-30",23972
"2019-07-31",24121
"2019-08-01",24378
"2019-08-02",24416
"2019-08-03",20981
"2019-08-04",23670
"2019-08-05",24388
"2019-08-06",23880
"2019-08-07",23999
"2019-08-08",24283
"2019-08-09",24319
"2019-08-10",20543
"2019-08-11",23519
"2019-08-12",24198
"2019-08-13",23624
"2019-08-14",23688
"2019-08-15",24106
"2019-08-16",24107
"2019-08-17",20156
"2019-08-18",23328
"2019-08-19",23998
"2019-08-20",23026
"2019-08-21",23316
"2019-08-22",23963
"2019-08-23",23933
"2019-08-24",19410
"2019-08-25",23029
"2019-08-26",23897
"2019-08-27",22922
"2019-08-28",23190
"2019-08-29",23858
"2019-08-30",23855
"2019-08-31",17476
"2019-09-01",17998
"2019-09-02",22468
"2019-09-03",21972
"2019-09-04",21835
"2019-09-05",22517
"2019-09-06",22548
"2019-09-07",18167
"2019-09-08",22590
"2019-09-09",23344
"2019-09-10",22230
"2019-09-11",22465
"2019-09-12",23391
"2019-09-13",23374
"2019-09-14",18400
"2019-09-15",22578
"2019-09-16",23356
"2019-09-17",22218
"2019-09-18",22453
"2019-09-19",23373
"2019-09-20",23345
"2019-09-21",18385
"2019-09-22",22580
"2019-09-23",23331
"2019-09-24",22202
"2019-09-25",22432
"2019-09-26",23410
"2019-09-27",23381
"2019-09-28",18412
"2019-09-29",22587
"2019-09-30",23370
"2019-10-01",22281
"2019-10-02",22696
"2019-10-03",23567
"2019-10-04",23612
"2019-10-05",18760
"2019-10-06",22853
"2019-10-07",23606
"2019-10-08",22669
"2019-10-09",22858
"2019-10-10",23652
"2019-10-11",23620
"2019-10-12",18841
"2019-10-13",22905
"2019-10-14",23639
"2019-10-15",22730
"2019-10-16",22883
"2019-10-17",23656
"2019-10-18",23620
"2019-10-19",18807
"2019-10-20",22880
"2019-10-21",23616
"2019-10-22",22700
"2019-10-23",22830
"2019-10-24",23632
"2019-10-25",23583
"2019-10-26",18503
"2019-10-27",22193
"2019-10-28",22604
"2019-10-29",21690
"2019-10-30",21617
"2019-10-31",19841
"2019-11-01",22052
"2019-11-02",18390
"2019-11-03",22462
"2019-11-04",23299
"2019-11-05",21809
"2019-11-06",22239
"2019-11-07",23469
"2019-11-08",23469
"2019-11-09",18400
"2019-11-10",22658
"2019-11-11",23443
"2019-11-12",22411
"2019-11-13",22627
"2019-11-14",23462
"2019-11-15",23479
"2019-11-16",18429
"2019-11-17",22698
"2019-11-18",23474
"2019-11-19",22593
"2019-11-20",22805
"2019-11-21",23474
"2019-11-22",23598
"2019-11-23",19935
"2019-11-24",22072
"2019-11-25",22174
"2019-11-26",22882
"2019-11-27",23637
"2019-11-28",13754
"2019-11-29",16794
"2019-11-30",23084
"2019-12-01",24739
"2019-12-02",23826
"2019-12-03",22219
"2019-12-04",21999
"2019-12-05",23011
"2019-12-06",23066
"2019-12-07",17586
"2019-12-08",21960
"2019-12-09",22780
"2019-12-10",21452
"2019-12-11",21995
"2019-12-12",23027
"2019-12-13",23074
"2019-12-14",17633
"2019-12-15",21983
"2019-12-16",22807
"2019-12-17",21456
"2019-12-18",22354
"2019-12-19",23214
"2019-12-20",23287
"2019-12-21",21773
"2019-12-22",22907
"2019-12-23",22987
"2019-12-24",18459
"2019-12-25",18034
"2019-12-26",22920
"2019-12-27",22979
"2019-12-28",21723
"2019-12-29",22846
"2019-12-30",22917
"2019-12-31",18928
