"count","origin","origin_city_name","origin_airport_id"
2747,"DHN","Dothan, AL",11308
2681,"SIT","Sitka, AK",14828
2675,"LAW","Lawton/Fort Sill, OK",12891
2666,"JHM","Kapalua, HI",12492
2627,"PUW","Pullman, WA",14303
2623,"ACK","Nantucket, MA",10154
2610,"FLO","Florence, SC",11699
2557,"RDD","Redding, CA",14487
2549,"CSG","Columbus, GA",11150
2527,"SUX","Sioux City, IA",15048
2514,"YKM","Yakima, WA",16101
2504,"TWF","Twin Falls, ID",15389
2461,"TXK","Texarkana, AR",15401
2370,"USA","Concord, NC",12544
2351,"PIH","Pocatello, ID",14113
2349,"LWS","Lewiston, ID",13127
2336,"EAT","Wenatchee, WA",11470
2328,"HYS","Hays, KS",12255
2313,"SPS","Wichita Falls, TX",14960
2309,"PBG","Plattsburgh, NY",14025
2217,"GUM","Guam, TT",12016
2207,"LBE","Latrobe, PA",12898
2201,"GTR","Columbus, MS",12007
2187,"COD","Cody, WY",11097
2185,"JLN","Joplin, MO",12511
2171,"MKK","Hoolehua, HI",13347
2137,"GRI","Grand Island, NE",11980
2119,"LCK","Columbus, OH",12917
2102,"PLN","Pellston, MI",14150
2099,"HVN","New Haven, CT",12244
2070,"VLD","Valdosta, GA",15607
2068,"BQK","Brunswick, GA",10731
2063,"MEI","Meridian, MS",13241
2051,"DBQ","Dubuque, IA",11274
2036,"BLV","Belleville, IL",10676
2020,"ABY","Albany, GA",10146
2018,"STX","Christiansted, VI",15027
2007,"PAH","Paducah, KY",14006
1972,"JMS","Jamestown, ND",12519
1962,"SCC","Deadhorse, AK",14709
1875,"BGM","Binghamton, NY",10577
1849,"BPT","Beaumont/Port Arthur, TX",10728
1839,"PUB","Pueblo, CO",14288
1821,"ALW","Walla Walla, WA",10275
1782,"SCK","Stockton, CA",14716
1740,"GGG","Longview, TX",11905
1675,"SWO","Stillwater, OK",15074
1662,"BET","Bethel, AK",10551
1661,"CKB","Clarksburg/Fairmont, WV",11027
1653,"IAG","Niagara Falls, NY",12265
1627,"GUC","Gunnison, CO",12012
1623,"SLN","Salina, KS",14877
1613,"PSE","Ponce, PR",14254
1603,"GCC","Gillette, WY",11865
1599,"DUT","Unalaska, AK",11445
1573,"CGI","Cape Girardeau, MO",10967
1558,"IPT","Williamsport, PA",12365
1558,"UIN","Quincy, IL",15454
1526,"RHI","Rhinelander, WI",14520
1492,"ABR","Aberdeen, SD",10141
1485,"SPN","Saipan, TT",14955
1481,"BJI","Bemidji, MN",10631
1458,"GCK","Garden City, KS",11867
1454,"BRW","Barrow, AK",10754
1449,"CMX","Hancock/Houghton, MI",11076
1443,"PSG","Petersburg, AK",14256
1443,"EAU","Eau Claire, WI",11471
1442,"WRG","Wrangell, AK",15841
1442,"MKG","Muskegon, MI",13344
1442,"CDV","Cordova, AK",10926
1442,"YAK","Yakutat, AK",15991
1441,"OME","Nome, AK",13873
1440,"OTZ","Kotzebue, AK",13970
1432,"PIB","Hattiesburg/Laurel, MS",14109
1429,"ART","Watertown, NY",10361
1423,"HOB","Hobbs, NM",12177
1422,"RFD","Rockford, IL",14512
1413,"RKS","Rock Springs, WY",14543
1383,"CDC","Cedar City, UT",10918
1375,"ALO","Waterloo, IA",10268
1370,"SHD","Staunton, VA",14802
1354,"BTM","Butte, MT",10779
1349,"CIU","Sault Ste. Marie, MI",11013
1327,"IMT","Iron Mountain/Kingsfd, MI",12335
1321,"EKO","Elko, NV",11525
1294,"INL","International Falls, MN",12343
1292,"DIK","Dickinson, ND",11315
1278,"PVU","Provo, UT",14314
1273,"ADQ","Kodiak, AK",10170
1269,"BRD","Brainerd, MN",10739
1250,"LAR","Laramie, WY",12888
1247,"DVL","Devils Lake, ND",11447
1247,"HIB","Hibbing, MN",12129
1244,"ESC","Escanaba, MI",11587
1241,"LWB","Lewisburg, WV",13121
1240,"APN","Alpena, MI",10333
1198,"BFF","Scottsbluff, NE",10558
1194,"LBF","North Platte, NE",12899
1186,"LBL","Liberal, KS",12902
1126,"MMH","Mammoth Lakes, CA",13388
1044,"MVY","Martha's Vineyard, MA",13541
1043,"CNY","Moab, UT",11092
973,"PRC","Prescott, AZ",14237
946,"VEL","Vernal, UT",15582
942,"PQI","Presque Isle/Houlton, ME",14231
884,"EAR","Kearney, NE",11468
837,"DRT","Del Rio, TX",11415
752,"OTH","North Bend/Coos Bay, OR",13964
727,"PSM","Portsmouth, NH",14259
664,"OGS","Ogdensburg, NY",13832
657,"PIR","Pierre, SD",14120
573,"CYS","Cheyenne, WY",11233
523,"ATY","Watertown, SD",10409
503,"WYS","West Yellowstone, MT",15897
418,"XWA","Williston, ND",16869
363,"SMX","Santa Maria, CA",14905
321,"HGR","Hagerstown, MD",12119
302,"BKG","Branson, MO",10643
281,"STC","St. Cloud, MN",15008
242,"PPG","Pago Pago, TT",14222
230,"OGD","Ogden, UT",13829
210,"OWB","Owensboro, KY",13983
207,"ADK","Adak Island, AK",10165
172,"HYA","Hyannis, MA",12250
166,"GST","Gustavus, AK",11997
166,"DLG","Dillingham, AK",11336
158,"BFM","Mobile, AL",10562
151,"ROP","Rota, TT",14582
124,"AKN","King Salmon, AK",10245
45,"IFP","Bullhead City, AZ",10590
2,"YNG","Youngstown/Warren, OH",16133
